2021-04-24 16:53:17,177 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [true]
2021-04-24 16:53:17,177 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [false]
2021-04-24 16:53:17,177 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [true]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [64]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [64]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [0]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2021-04-24 16:53:17,178 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [true]
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2021-04-24 16:53:17,179 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [false]
2021-04-24 16:53:17,180 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2021-04-24 16:53:17,180 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2021-04-24 16:53:17,183 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2021-04-24 16:53:17,183 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [false]
2021-04-24 16:53:17,183 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2021-04-24 16:53:17,183 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2021-04-24 16:53:17,193 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2021-04-24 16:53:17,193 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2021-04-24 16:53:17,193 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2021-04-24 16:53:17,303 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Column Info From Database
2021-04-24 16:53:18,031 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCOMMODATION_CLASS] exists in the database but has no corresponding entity
2021-04-24 16:53:18,031 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCOMMODATION_MAP] exists in the database but has no corresponding entity
2021-04-24 16:53:18,031 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCOMMODATION_MAP_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,034 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCOMMODATION_SPOT] exists in the database but has no corresponding entity
2021-04-24 16:53:18,034 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCTG_TRANS] exists in the database but has no corresponding entity
2021-04-24 16:53:18,037 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCTG_TRANS_ATTRIBUTE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,037 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCTG_TRANS_ENTRY] exists in the database but has no corresponding entity
2021-04-24 16:53:18,037 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCTG_TRANS_ENTRY_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,038 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCTG_TRANS_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,038 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ACCTG_TRANS_TYPE_ATTR] exists in the database but has no corresponding entity
2021-04-24 16:53:18,039 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ADDENDUM] exists in the database but has no corresponding entity
2021-04-24 16:53:18,039 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [ADDRESS_MATCH_MAP] exists in the database but has no corresponding entity
2021-04-24 16:53:18,039 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AFFILIATE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,039 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT] exists in the database but has no corresponding entity
2021-04-24 16:53:18,039 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_ATTRIBUTE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,041 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_CONTENT] exists in the database but has no corresponding entity
2021-04-24 16:53:18,041 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_CONTENT_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,041 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_EMPLOYMENT_APPL] exists in the database but has no corresponding entity
2021-04-24 16:53:18,042 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_FACILITY_APPL] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_GEOGRAPHICAL_APPLIC] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_ITEM] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_ITEM_ATTRIBUTE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_ITEM_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_ITEM_TYPE_ATTR] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_PARTY_APPLIC] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_PRODUCT_APPL] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_PROMO_APPL] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_ROLE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,047 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_TERM] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_TERM_ATTRIBUTE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_TYPE_ATTR] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AGREEMENT_WORK_EFFORT_APPLIC] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [APPLICATION_SANDBOX] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [AUDIO_DATA_RESOURCE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BENEFIT_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BILLING_ACCOUNT] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BILLING_ACCOUNT_ROLE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BILLING_ACCOUNT_TERM] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BILLING_ACCOUNT_TERM_ATTR] exists in the database but has no corresponding entity
